24. June 2018 | 18:48:22 | - 3DSpeed = 0
24. June 2018 | 18:48:22 | - MaxSpeed = 230
24. June 2018 | 18:48:22 | - AdminImmunity = 1
24. June 2018 | 18:48:22 | - Advertisement = 1
24. June 2018 | 18:48:22 | - FreezeUpdate = 0
24. June 2018 | 18:48:22 | - SpawnTime = 10
24. June 2018 | 18:48:22 | - CheckpointTeleport = 1
24. June 2018 | 18:48:22 | - Airbreak = 1
24. June 2018 | 18:48:22 | - TankMode = 1
24. June 2018 | 18:48:22 | - WarnPlayers = 0
24. June 2018 | 18:48:22 | - SingleplayerCheats = 1
24. June 2018 | 18:48:22 | - MinFPS = 2
24. June 2018 | 18:48:22 | - DisableBadWeapons = 1
24. June 2018 | 18:48:22 | - CBug = 16
24. June 2018 | 18:48:22 | - AntiBugKill = 1
24. June 2018 | 18:48:22 | - NoReload = 20
24. June 2018 | 18:48:22 | - NoReloadForSawnOff = 4
24. June 2018 | 18:48:22 | - ActiveGMC = 2
24. June 2018 | 18:48:22 | - GMCBan = 0
24. June 2018 | 18:48:22 | - ServerSideHealth = 1
24. June 2018 | 18:48:22 | - CheckVMPos = 0
24. June 2018 | 18:48:22 | - QuickTurn = 1
24. June 2018 | 18:48:22 | 1 IP-bans have been loaded.
24. June 2018 | 18:48:22 | 0 temporary bans have been loaded.
24. June 2018 | 18:48:22 | 1 whitelist entries have been loaded.
24. June 2018 | 18:48:22 | 4 blacklist entries have been loaded.
24. June 2018 | 18:48:22 | 41 bad words have been loaded.
24. June 2018 | 18:48:22 | 4 forbidden weapons have been loaded.
24. June 2018 | 18:48:22 | JunkBuster has been configurated.
24. June 2018 | 18:48:22 | JunkBuster has successfully been loaded.
24. June 2018 | 18:55:39 | Current JunkBuster configuration:
24. June 2018 | 18:55:39 | - WeaponHack = 1
24. June 2018 | 18:55:39 | - MoneyHack = 1
24. June 2018 | 18:55:39 | - Jetpack = 1
24. June 2018 | 18:55:39 | - HealthHack = 1
24. June 2018 | 18:55:39 | - ArmourHack = 1
24. June 2018 | 18:55:39 | - DriveBy = 2
24. June 2018 | 18:55:39 | - Spam = 0
24. June 2018 | 18:55:39 | - CommandSpam = 0
24. June 2018 | 18:55:39 | - BadWords = 0
24. June 2018 | 18:55:39 | - CarJackHack = 1
24. June 2018 | 18:55:39 | - TeleportHack = 1
24. June 2018 | 18:55:39 | - MaxPing = 1000
24. June 2018 | 18:55:39 | - SpectateHack = 0
24. June 2018 | 18:55:39 | - Blacklist = 1
